completed_at,exercise_title
2025-07-25T00:00:00.000Z,Creating a grid of subplots
2025-08-18T00:00:00.000Z,Ordering categories
2025-07-02T00:00:00.000Z,Driving right (2)
2025-09-03T00:00:00.000Z,Exploring customer satisfaction (3)
2025-08-13T00:00:00.000Z,Does sugar improve happiness? (2)
2025-09-03T00:00:00.000Z,Choosing the right test: finance (3)
2025-08-30T00:00:00.000Z,Working with structured cell references
2025-08-18T00:00:00.000Z,One visualization per group
2025-07-08T00:00:00.000Z,String Methods
2025-09-04T00:00:00.000Z,Centering and scaling for regression
2025-07-16T00:00:00.000Z,Write your own generator expressions
2025-07-17T00:00:00.000Z,Using outer join to select actors
2025-09-28T00:00:00.000Z,How to fork a repo
2025-08-06T00:00:00.000Z,Interpreting a heatmap
2025-07-11T00:00:00.000Z,Importing entire text files
2025-10-05T00:00:00.000Z,Aliasing with functions (1)
2025-08-20T00:00:00.000Z,Performing cluster sampling (3)
2025-07-29T00:00:00.000Z,Making a count plot with a DataFrame
2025-09-09T00:00:00.000Z,Building recommender systems using NMF
2025-07-14T00:00:00.000Z,Pivoting on one variable (1)
2025-07-11T00:00:00.000Z,Pandas and The Hello World of SQL Queries!
2025-08-21T00:00:00.000Z,Calculating a z-score
2025-09-02T00:00:00.000Z,Blocking experimental data
2025-06-30T00:00:00.000Z,Line plot (3)
2025-11-18T00:00:00.000Z,Change the referential integrity behavior of a key (3)
2025-07-14T00:00:00.000Z,Sorting rows
2025-08-20T00:00:00.000Z,3 kinds of sampling (2)
2025-08-21T00:00:00.000Z,Calculating the sample mean (1)
2025-07-28T00:00:00.000Z,Plotting time-series with different variables
2025-09-21T00:00:00.000Z,Evaluate the RF regressor
2025-09-24T00:00:00.000Z,Closures keep your values safe (3)
2025-08-06T00:00:00.000Z,Patterns over time
2025-07-08T00:00:00.000Z,Create lists with different types
2025-10-05T00:00:00.000Z,Using WHERE with numbers (3)
2025-10-05T00:00:00.000Z,Combining aggregate functions with WHERE (1)
2025-10-11T00:00:00.000Z,Histories and languages
2025-07-14T00:00:00.000Z,Calculations with .groupby() (1)
2025-08-13T00:00:00.000Z,What can't correlation measure? (1)
2025-09-09T00:00:00.000Z,Intrinsic dimension
2025-09-18T00:00:00.000Z,Instantiate the model
2025-08-20T00:00:00.000Z,Simple sampling and calculating with NumPy (1)
2025-09-28T00:00:00.000Z,Defining and identifying remotes (1)
2025-10-11T00:00:00.000Z,Final challenge
2025-07-08T00:00:00.000Z,Help!
2025-08-11T00:00:00.000Z,Finding outliers using IQR (4)
2025-07-08T00:00:00.000Z,Explore the baseball data
2025-07-08T00:00:00.000Z,Manipulating Lists
2025-07-16T00:00:00.000Z,Reduce() and lambda functions
2025-07-05T00:00:00.000Z,How low can you go?
2025-07-02T00:00:00.000Z,Boolean operators with NumPy
2025-10-11T00:00:00.000Z,Diagnosing problems using anti join (2)
2025-08-20T00:00:00.000Z,Weighted sampling (4)
2025-11-18T00:00:00.000Z,REFERENCE a table with a FOREIGN KEY (2)
2025-08-17T00:00:00.000Z,Adding categories (2)
2025-10-06T00:00:00.000Z,GROUP BY single fields (1)
2025-08-20T00:00:00.000Z,Generating an approximate sampling distribution (3)
2025-08-20T00:00:00.000Z,Exact vs. approximate
2025-08-17T00:00:00.000Z,Exploring a target variable
2025-10-05T00:00:00.000Z,Practice with COUNT() (1)
2025-07-08T00:00:00.000Z,Operations with other types (1)
2025-08-16T00:00:00.000Z,UTC offsets
2025-09-24T00:00:00.000Z,HTML Generator (3)
2025-11-18T00:00:00.000Z,Make your columns UNIQUE with ADD CONSTRAINT (1)
2025-08-19T00:00:00.000Z,Visualizing linear and logistic models (2)
2025-08-20T00:00:00.000Z,Standard errors and the Central Limit Theorem
2025-09-28T00:00:00.000Z,Pulling from a remote (2)
2025-07-31T00:00:00.000Z,Validating range
2025-08-21T00:00:00.000Z,Principles of bootstrapping
2025-09-09T00:00:00.000Z,PCA doesn't learn parts
2025-07-29T00:00:00.000Z,Customizing point plots (1)
2025-09-04T00:00:00.000Z,Dropping missing data (1)
2025-09-28T00:00:00.000Z,Pulling from a remote
2025-08-03T00:00:00.000Z,Handling outliers
2025-07-02T00:00:00.000Z,Warmup
2025-08-26T00:00:00.000Z,Test of two proportions (4)
2025-11-18T00:00:00.000Z,Join all the tables together (1)
2025-10-11T00:00:00.000Z,Is this RIGHT?
2025-09-09T00:00:00.000Z,Visualizing hierarchies
2025-07-05T00:00:00.000Z,The next step
2025-08-18T00:00:00.000Z,Creating a bar plot
2025-08-12T00:00:00.000Z,Modeling time between leads (3)
2025-09-21T00:00:00.000Z,Evaluate the GB regressor
2025-08-20T00:00:00.000Z,Comparing point estimates
2025-08-06T00:00:00.000Z,Categorical data in scatter plots
2025-07-16T00:00:00.000Z,Changing the output in generator expressions
2025-11-17T00:00:00.000Z,Better data quality with constraints
2025-08-17T00:00:00.000Z,How long per weekday?
2025-07-16T00:00:00.000Z,Write a basic list comprehension
2025-07-05T00:00:00.000Z,Numeric data or ... ? (2)
2025-07-16T00:00:00.000Z,Turning this all into a DataFrame
2025-08-13T00:00:00.000Z,Representing dates in different ways (2)
2025-08-17T00:00:00.000Z,Setting dtype when reading data (3)
2025-10-05T00:00:00.000Z,SELECT DISTINCT (2)
2025-08-16T00:00:00.000Z,Turning strings into datetimes (3)
2025-10-05T00:00:00.000Z,SELECT DISTINCT (1)
2025-08-13T00:00:00.000Z,Dates in Python
2025-08-20T00:00:00.000Z,Weighted sampling
2025-09-26T00:00:00.000Z,Unstaging a file (2)
2025-09-26T00:00:00.000Z,Navigating the shell (3)
2025-09-03T00:00:00.000Z,Visualizing loan approval yield (2)
2025-07-01T00:00:00.000Z,"Dictionaries, Part 2"
2025-07-14T00:00:00.000Z,Dropping duplicates
2025-09-02T00:00:00.000Z,Importance of covariates
2025-07-08T00:00:00.000Z,Subsetting Lists
2025-07-17T00:00:00.000Z,Your first inner join
2025-08-21T00:00:00.000Z,Performing t-tests
2025-07-30T00:00:00.000Z,Adding a title to a FacetGrid object
2025-07-08T00:00:00.000Z,Subsetting 2D NumPy Arrays
2025-09-24T00:00:00.000Z,Counter
2025-09-03T00:00:00.000Z,Machine learning with scikit-learn
2025-11-21T00:00:00.000Z,Querying the dimensional model
2025-09-04T00:00:00.000Z,Regularized regression: Ridge
2025-08-13T00:00:00.000Z,Congratulations!
2025-08-19T00:00:00.000Z,Transforming the explanatory variable
2025-07-11T00:00:00.000Z,Querying relational databases in Python
2025-08-20T00:00:00.000Z,Generating random numbers (2)
2025-07-22T00:00:00.000Z,Salary variation
2025-10-05T00:00:00.000Z,Data warehouses and data lakes
2025-07-29T00:00:00.000Z,Customizing bar plots (1)
2025-08-13T00:00:00.000Z,Guess the correlation
2025-09-21T00:00:00.000Z,Train an RF regressor
2025-11-18T00:00:00.000Z,Identify the primary key
2025-09-21T00:00:00.000Z,Define the bagging classifier
2025-08-11T00:00:00.000Z,Generating new features
2025-07-18T00:00:00.000Z,"merge_ordered() caution, multiple columns"
2025-08-19T00:00:00.000Z,Drawing diagnostic plots (1)
2025-08-18T00:00:00.000Z,Ordering categories (1)
2025-07-17T00:00:00.000Z,Performing an anti join (1)
2025-08-19T00:00:00.000Z,Visualizing predictions
2025-10-11T00:00:00.000Z,"This is a LEFT JOIN, right?"
2025-08-11T00:00:00.000Z,Creating a probability distribution (4)
2025-10-04T00:00:00.000Z,Responding to Dependency Alerts
2025-11-18T00:00:00.000Z,"Populate the ""professor_id"" column"
2025-09-24T00:00:00.000Z,HTML Generator
2025-08-21T00:00:00.000Z,Using ttest() (1)
2025-07-06T00:00:00.000Z,Members only
2025-08-03T00:00:00.000Z,Identifying outliers (3)
2025-09-24T00:00:00.000Z,Checking for closure (3)
2025-08-17T00:00:00.000Z,Timezones in Pandas (2)
2025-09-24T00:00:00.000Z,Using decorator syntax
2025-08-11T00:00:00.000Z,Comparing salaries
2025-07-31T00:00:00.000Z,Imputing missing plane prices
2025-10-11T00:00:00.000Z,Your first join
2025-07-14T00:00:00.000Z,Avocado supply and demand
2025-07-18T00:00:00.000Z,Using merge_asof() to create dataset
2025-09-21T00:00:00.000Z,Retrieving docstrings (3)
2025-11-18T00:00:00.000Z,Add a SERIAL surrogate key (1)
2025-08-20T00:00:00.000Z,Simple random and systematic sampling
2025-08-19T00:00:00.000Z,Odds ratio (2)
2025-08-16T00:00:00.000Z,Creating datetimes by hand (3)
2025-08-03T00:00:00.000Z,Identifying outliers (2)
2025-07-29T00:00:00.000Z,Point plots with subgroups
2025-08-20T00:00:00.000Z,Is systematic sampling OK?
2025-11-21T00:00:00.000Z,Deciding fact and dimension tables (2)
2025-08-20T00:00:00.000Z,Generating random numbers (1)
2025-07-05T00:00:00.000Z,Visualize all walks
2025-10-11T00:00:00.000Z,Joining multiple tables (2)
2025-08-21T00:00:00.000Z,Compare sampling and bootstrap standard deviations (2)
2025-08-21T00:00:00.000Z,Visualizing the difference
2025-08-03T00:00:00.000Z,Flight duration (2)
2025-08-20T00:00:00.000Z,Relative error of point estimates
2025-09-03T00:00:00.000Z,Addressing complexities in experimental data
2025-09-28T00:00:00.000Z,Limiting results
2025-08-20T00:00:00.000Z,Are findings from the sample generalizable? (1)
2025-08-19T00:00:00.000Z,Coefficient of determination (4)
2025-10-05T00:00:00.000Z,Columns
2025-07-01T00:00:00.000Z,Dictionary to DataFrame (2)
2025-10-11T00:00:00.000Z,UNION vs. UNION ALL (2)
2025-09-28T00:00:00.000Z,Introduction to branches
2025-07-17T00:00:00.000Z,Enriching a dataset (1)
2025-09-28T00:00:00.000Z,Merging two branches
2025-07-11T00:00:00.000Z,Customizing your pandas import
2025-11-18T00:00:00.000Z,Roundup
2025-08-11T00:00:00.000Z,Finding outliers using IQR (2)
2025-08-06T00:00:00.000Z,Updating data type to DateTime (1)
2025-08-19T00:00:00.000Z,Transforming the response variable too (1)
2025-08-19T00:00:00.000Z,Transforming the explanatory variable (3)
2025-09-28T00:00:00.000Z,Querying the books table (3)
2025-09-04T00:00:00.000Z,Building a logistic regression model
2025-09-24T00:00:00.000Z,Returning functions for a math game
2025-09-03T00:00:00.000Z,Choosing the right test: petrochemicals (2)
2025-10-05T00:00:00.000Z,Using OR (2)
2025-07-06T00:00:00.000Z,Uniqueness constraints
2025-07-25T00:00:00.000Z,Customizing data appearance
2025-07-16T00:00:00.000Z,Using iterators to load large files into memory
2025-08-19T00:00:00.000Z,The limits of prediction (1)
2025-06-30T00:00:00.000Z,Additional Customizations
2025-07-16T00:00:00.000Z,Bringing it all together (3)
2025-07-14T00:00:00.000Z,New columns
2025-08-11T00:00:00.000Z,Mean vs. median (4)
2025-08-26T00:00:00.000Z,Visualizing goodness of fit (1)
2025-10-04T00:00:00.000Z,Built-in Automations or GitHub Actions?
2025-07-17T00:00:00.000Z,Using merge_ordered()
2025-07-29T00:00:00.000Z,Visualizing standard deviation with line plots
2025-07-02T00:00:00.000Z,for loop
2025-07-30T00:00:00.000Z,Putting it all together
2025-08-16T00:00:00.000Z,Finding ambiguous datetimes
2025-08-18T00:00:00.000Z,Overcoming pitfalls: string issues (4)
2025-08-12T00:00:00.000Z,Identifying lambda
2025-07-02T00:00:00.000Z,Equality
2025-09-24T00:00:00.000Z,Understanding scope
2025-09-25T00:00:00.000Z,Great job!
2025-07-15T00:00:00.000Z,Functions with variable-length keyword arguments (**kwargs)
2025-09-09T00:00:00.000Z,t-SNE visualization of grain dataset
2025-08-21T00:00:00.000Z,Uses of A/B testing
2025-07-25T00:00:00.000Z,Using the matplotlib.pyplot interface
2025-07-15T00:00:00.000Z,Replacing missing values (2)
2025-08-16T00:00:00.000Z,Creating timezone aware datetimes (1)
2025-08-13T00:00:00.000Z,Transforming variables
2025-07-17T00:00:00.000Z,Concatenate and merge to find common songs (2)
2025-07-08T00:00:00.000Z,NumPy
2025-08-21T00:00:00.000Z,Compare sampling and bootstrap means (1)
2025-09-24T00:00:00.000Z,Changing the working directory
2025-10-05T00:00:00.000Z,Aliasing with functions
2025-07-11T00:00:00.000Z,The power of SQL lies in relationships between tables: INNER JOIN
2025-07-29T00:00:00.000Z,Changing the size of scatter plot points
2025-08-18T00:00:00.000Z,Creating a box plot
2025-08-13T00:00:00.000Z,Which day of the week? (1)
2025-09-21T00:00:00.000Z,Retrieving docstrings
2025-07-29T00:00:00.000Z,Changing plot style and color
2025-07-11T00:00:00.000Z,Loading a pickled file
