completed_at,exercise_title
2025-08-31T00:00:00.000Z,Wilcoxon signed-rank test (2)
2025-08-12T00:00:00.000Z,Simulating wait times (1)
2025-08-12T00:00:00.000Z,Simulating sales deals (2)
2025-08-20T00:00:00.000Z,Is systematic sampling OK? (3)
2025-08-21T00:00:00.000Z,Using ttest()
2025-09-04T00:00:00.000Z,Centering and scaling for classification
2025-09-04T00:00:00.000Z,Pipeline for predicting song popularity
2025-08-03T00:00:00.000Z,Adding descriptive statistics
2025-07-25T00:00:00.000Z,Types of reports
2025-08-18T00:00:00.000Z,Ordering categories (2)
2025-09-26T00:00:00.000Z,Limiting the view of a repo's history
2025-09-04T00:00:00.000Z,Logistic regression and the ROC curve
2025-08-26T00:00:00.000Z,Test of two proportions (1)
2025-09-03T00:00:00.000Z,Effectively communicating experimental data
2025-08-11T00:00:00.000Z,Cross-tabulation (1)
2025-07-13T00:00:00.000Z,The cutoff point (2)
2025-07-14T00:00:00.000Z,Subsetting columns (2)
2025-07-11T00:00:00.000Z,Extracting data from your HDF5 file
2025-09-24T00:00:00.000Z,Scope
2025-09-28T00:00:00.000Z,Repo access
2025-07-16T00:00:00.000Z,Pop quiz about errors
2025-08-20T00:00:00.000Z,Convenience sampling
2025-09-26T00:00:00.000Z,Congratulations
2025-07-02T00:00:00.000Z,Greater and less than
2025-08-21T00:00:00.000Z,With or without replacement?
2025-10-05T00:00:00.000Z,Aggregate functions and data types
2025-07-05T00:00:00.000Z,Plot the distribution
2025-07-11T00:00:00.000Z,Creating a database engine in Python
2025-07-14T00:00:00.000Z,Summary statistics
2025-07-22T00:00:00.000Z,A communication problem
2025-07-13T00:00:00.000Z,Remapping categories II
2025-08-19T00:00:00.000Z,Working with model objects
2025-10-11T00:00:00.000Z,Set theory for SQL Joins
2025-09-09T00:00:00.000Z,Principal components
2025-10-11T00:00:00.000Z,Comparing global economies
2025-10-11T00:00:00.000Z,Relationships in our database (2)
2025-07-25T00:00:00.000Z,Too much text
2025-10-11T00:00:00.000Z,All together now (2)
2025-08-19T00:00:00.000Z,Modeling consecutive returns
2025-08-03T00:00:00.000Z,Removing outliers (2)
2025-08-06T00:00:00.000Z,Exploring with KDE plots (2)
2025-07-21T00:00:00.000Z,Earning interests
2025-08-21T00:00:00.000Z,Generating a bootstrap distribution (3)
2025-10-06T00:00:00.000Z,Answering business questions
2025-08-20T00:00:00.000Z,Approximate sampling distributions
2025-08-21T00:00:00.000Z,Confidence intervals
2025-07-13T00:00:00.000Z,Comparing strings
2025-08-16T00:00:00.000Z,Turning strings into datetimes (2)
2025-10-11T00:00:00.000Z,Comparing two set operations (1)
2025-07-14T00:00:00.000Z,What percent of sales occurred at each store type?
2025-08-21T00:00:00.000Z,Paired t-tests
2025-07-29T00:00:00.000Z,Changing the scale (3)
2025-10-11T00:00:00.000Z,Congratulations!
2025-07-16T00:00:00.000Z,Iterating over iterables (2)
2025-10-04T00:00:00.000Z,Authentication and Authorization Models
2025-09-28T00:00:00.000Z,Working with issues
2025-08-16T00:00:00.000Z,How many hours elapsed around daylight saving? (2)
2025-09-24T00:00:00.000Z,Preserving docstrings when decorating functions
2025-08-21T00:00:00.000Z,Sampling distribution vs. bootstrap distribution (1)
2025-07-16T00:00:00.000Z,Bringing it all together
2025-10-05T00:00:00.000Z,Multiple criteria
2025-07-11T00:00:00.000Z,Pop quiz: The relational model
2025-07-14T00:00:00.000Z,Combo-attack!
2025-11-17T00:00:00.000Z,Change types with ALTER COLUMN
2025-07-13T00:00:00.000Z,The cutoff point (1)
2025-07-29T00:00:00.000Z,Customizing bar plots
2025-09-21T00:00:00.000Z,Evaluate the optimal forest
2025-08-20T00:00:00.000Z,Generating random numbers (4)
2025-07-13T00:00:00.000Z,Linking DataFrames
2025-06-30T00:00:00.000Z,Scatter Plot (1)
2025-07-11T00:00:00.000Z,Importing MATLAB files
2025-08-21T00:00:00.000Z,Calculating p-values (1)
2025-08-11T00:00:00.000Z,Extracting features for correlation
2025-10-11T00:00:00.000Z,Histories and languages (1)
2025-08-13T00:00:00.000Z,Relationships between variables (2)
2025-07-14T00:00:00.000Z,Efficient summaries (1)
2025-07-15T00:00:00.000Z,Pop quiz on understanding scope
2025-07-01T00:00:00.000Z,loc and iloc (2)
2025-08-20T00:00:00.000Z,Weighted sampling (2)
2025-11-18T00:00:00.000Z,"Add foreign keys to the ""affiliations"" table (2)"
2025-07-17T00:00:00.000Z,Counting missing rows with left join (3)
2025-08-26T00:00:00.000Z,Chi-square goodness of fit tests
2025-09-03T00:00:00.000Z,The supervised learning workflow
2025-09-09T00:00:00.000Z,Intermediate clusterings
2025-09-30T00:00:00.000Z,Refresher on GitHub Concepts
2025-11-18T00:00:00.000Z,Make your columns UNIQUE with ADD CONSTRAINT (2)
2025-07-17T00:00:00.000Z,Merging multiple DataFrames
2025-07-15T00:00:00.000Z,Default and flexible arguments
2025-07-08T00:00:00.000Z,Multiple arguments
2025-09-03T00:00:00.000Z,Exploring and transforming shelf life data (2)
2025-07-16T00:00:00.000Z,Writing an iterator to load data in chunks (4)
2025-08-16T00:00:00.000Z,Counting events before and after noon
2025-08-19T00:00:00.000Z,Modeling consecutive returns (2)
2025-07-11T00:00:00.000Z,Querying relational databases directly with pandas
2025-07-14T00:00:00.000Z,Setting multi-level indexes
2025-08-17T00:00:00.000Z,Exploring a target variable (2)
2025-09-28T00:00:00.000Z,Assigning a reviewer
2025-07-16T00:00:00.000Z,Introduction to error handling
2025-08-26T00:00:00.000Z,Performing a chi-square test (1)
2025-10-05T00:00:00.000Z,Using BETWEEN (3)
2025-09-18T00:00:00.000Z,Classification tree Learning
2025-10-05T00:00:00.000Z,Setting Up a SECURITY.md File
2025-09-24T00:00:00.000Z,Using context managers
2025-07-08T00:00:00.000Z,Subsetting NumPy Arrays
2025-08-16T00:00:00.000Z,Unix timestamps
2025-07-17T00:00:00.000Z,Right join to find unique movies (2)
2025-10-11T00:00:00.000Z,LEFT and RIGHT JOINs
2025-10-05T00:00:00.000Z,Parallel computing
2025-08-19T00:00:00.000Z,Predicting house prices (3)
2025-10-11T00:00:00.000Z,"You've got it, EXCEPT..."
2025-07-18T00:00:00.000Z,Course wrap-up
2025-09-09T00:00:00.000Z,Variance of the PCA features
2025-09-03T00:00:00.000Z,Visualizing loan approval yield
2025-08-21T00:00:00.000Z,Generating a bootstrap distribution (1)
2025-08-17T00:00:00.000Z,Exploring a target variable (4)
2025-08-11T00:00:00.000Z,What is statistics?
2025-09-03T00:00:00.000Z,Congratulations!
2025-07-16T00:00:00.000Z,Congratulations!
2025-11-18T00:00:00.000Z,Disallow NULL values with SET NOT NULL (1)
2025-07-17T00:00:00.000Z,Do sequels earn more? (3)
2025-09-04T00:00:00.000Z,Cross-validation for R-squared
2025-07-25T00:00:00.000Z,Credit me
2025-07-25T00:00:00.000Z,Building presentation slides
2025-08-13T00:00:00.000Z,Representing dates in different ways (3)
2025-08-17T00:00:00.000Z,Timezones in Pandas
2025-09-09T00:00:00.000Z,NMF learns interpretable parts
2025-07-17T00:00:00.000Z,Inner join
2025-07-02T00:00:00.000Z,"if, elif, else"
2025-08-18T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays (3)
2025-09-04T00:00:00.000Z,Dropping missing data (3)
2025-07-31T00:00:00.000Z,Validating continents
2025-08-12T00:00:00.000Z,Data back-ups (3)
2025-10-05T00:00:00.000Z,Using BETWEEN (1)
2025-07-16T00:00:00.000Z,Using zip
2025-07-31T00:00:00.000Z,Validating continents (1)
2025-09-28T00:00:00.000Z,Creating new branches (2)
2025-08-12T00:00:00.000Z,Simulating sales under new market conditions
2025-12-01T00:00:00.000Z,Viewing views (3)
2025-07-08T00:00:00.000Z,Your First 2D NumPy Array
2025-07-29T00:00:00.000Z,Changing style and palette
2025-08-31T00:00:00.000Z,Non-parametric tests
2025-07-29T00:00:00.000Z,Customizing point plots (3)
2025-09-21T00:00:00.000Z,OOB Score vs Test Set Score
2025-07-16T00:00:00.000Z,Processing large amounts of Twitter data
2025-07-15T00:00:00.000Z,Creating DataFrames
2025-07-30T00:00:00.000Z,Adding a title and axis labels (2)
2025-07-17T00:00:00.000Z,One-to-many merge
2025-07-25T00:00:00.000Z,Same results
2025-09-03T00:00:00.000Z,Synthesizing insights from complex experiments
2025-07-31T00:00:00.000Z,Flight duration categories (2)
2025-07-30T00:00:00.000Z,Well done! What's next?
2025-08-21T00:00:00.000Z,From t to p
2025-09-24T00:00:00.000Z,Building a command line data app
2025-08-19T00:00:00.000Z,Extracting model elements (1)
2025-08-26T00:00:00.000Z,One-sample proportion tests
2025-12-01T00:00:00.000Z,Converting to 3NF
2025-09-18T00:00:00.000Z,Using entropy as a criterion
2025-07-17T00:00:00.000Z,Right join to find unique movies (3)
2025-07-14T00:00:00.000Z,Pivoting on one variable (2)
2025-08-20T00:00:00.000Z,Are these findings generalizable? (2)
2025-09-26T00:00:00.000Z,Tables
2025-09-28T00:00:00.000Z,Correctly using branches
2025-07-16T00:00:00.000Z,Final thoughts
2025-07-29T00:00:00.000Z,Bar plots with percentages
2025-10-05T00:00:00.000Z,Schedules
2025-08-19T00:00:00.000Z,Residuals vs. fitted values
2025-09-18T00:00:00.000Z,Define the ensemble
2025-09-26T00:00:00.000Z,Navigating the shell (2)
2025-08-21T00:00:00.000Z,Visualizing many categories (2)
2025-10-05T00:00:00.000Z,Tell the truth
2025-11-18T00:00:00.000Z,Identify keys with SELECT COUNT DISTINCT
2025-07-14T00:00:00.000Z,Subsetting rows by categorical variables
2025-07-13T00:00:00.000Z,Congratulations!
2025-09-03T00:00:00.000Z,Applying nonparametric tests in experimental analysis
2025-10-05T00:00:00.000Z,Our warehouse (in the middle of our street)
2025-08-03T00:00:00.000Z,Adding descriptive statistics (1)
2025-09-04T00:00:00.000Z,Visualizing model complexity
2025-09-21T00:00:00.000Z,Docstrings to the rescue!
2025-08-17T00:00:00.000Z,Renaming categories
2025-09-26T00:00:00.000Z,Table and field naming
2025-09-04T00:00:00.000Z,Visualizing classification model performance
2025-09-26T00:00:00.000Z,Unstaging a file
2025-08-21T00:00:00.000Z,Criminal trials and hypothesis tests
2025-09-18T00:00:00.000Z,Entropy vs Gini index
2025-07-11T00:00:00.000Z,Using File to import HDF5 files
2025-10-11T00:00:00.000Z,Comparing joins (1)
2025-07-11T00:00:00.000Z,Final Thoughts
2025-08-12T00:00:00.000Z,Tracking lead responses (4)
2025-07-15T00:00:00.000Z,Functions with multiple parameters
2025-08-19T00:00:00.000Z,Transforming the explanatory variable (1)
2025-09-04T00:00:00.000Z,k-Nearest Neighbors: Fit
2025-07-15T00:00:00.000Z,Finding missing values
2025-08-17T00:00:00.000Z,Setting dtype when reading data (1)
2025-07-08T00:00:00.000Z,Average versus median
2025-10-05T00:00:00.000Z,Practice with NULLs (2)
2025-09-03T00:00:00.000Z,Choosing the right test: finance (2)
2025-08-11T00:00:00.000Z,Discrete distributions
2025-11-18T00:00:00.000Z,Join all the tables together (2)
2025-10-11T00:00:00.000Z,All together now
2025-07-29T00:00:00.000Z,Switching between styles (1)
2025-07-06T00:00:00.000Z,Finding consistency (2)
2025-08-13T00:00:00.000Z,Which day of the week? (3)
2025-09-02T00:00:00.000Z,Stratifying an experiment (2)
2025-08-17T00:00:00.000Z,Collapsing categories
2025-07-14T00:00:00.000Z,Setting and removing indexes
2025-07-01T00:00:00.000Z,Dictionary Manipulation (2)
2025-07-08T00:00:00.000Z,2D NumPy Arrays
2025-07-16T00:00:00.000Z,Wrapping up comprehensions and generators.
2025-08-20T00:00:00.000Z,Simple sampling with pandas (1)
2025-10-11T00:00:00.000Z,Comparing two set operations (2)
2025-08-13T00:00:00.000Z,Printing dates in a friendly format
2025-07-14T00:00:00.000Z,Calculations with .groupby() (2)
2025-07-25T00:00:00.000Z,Best practice
2025-08-19T00:00:00.000Z,Visualizing linear and logistic models
2025-07-17T00:00:00.000Z,How does pandas handle self joins?
2025-09-24T00:00:00.000Z,Preserving docstrings when decorating functions (1)
2025-08-12T00:00:00.000Z,Distribution of Amir's sales (2)
2025-07-17T00:00:00.000Z,One-to-many merge with multiple tables
2025-08-26T00:00:00.000Z,Visualizing goodness of fit (4)
2025-09-24T00:00:00.000Z,Functions are objects
2025-07-16T00:00:00.000Z,Error handling by raising an error
2025-08-20T00:00:00.000Z,Understanding random seeds (1)
2025-07-14T00:00:00.000Z,Subsetting by row/column number
2025-08-17T00:00:00.000Z,Cleaning variables (1)
2025-10-05T00:00:00.000Z,Practice with aggregate functions (2)
2025-07-16T00:00:00.000Z,Bringing it all together (2)
2025-07-22T00:00:00.000Z,Visualizations for different audiences
2025-07-15T00:00:00.000Z,Replacing missing values
2025-07-17T00:00:00.000Z,Self join (2)
2025-07-15T00:00:00.000Z,Functions that return multiple values
2025-08-20T00:00:00.000Z,Understanding random seeds (3)
2025-09-04T00:00:00.000Z,Centering and scaling
2025-09-26T00:00:00.000Z,Saving files (3)
2025-09-18T00:00:00.000Z,Train your first classification tree
2025-09-04T00:00:00.000Z,Deciding on a primary metric
2025-07-14T00:00:00.000Z,Explicit indexes
2025-09-02T00:00:00.000Z,Analytical normality in an agricultural experiment (2)
2025-08-16T00:00:00.000Z,How many hours elapsed around daylight saving? (3)
2025-09-28T00:00:00.000Z,Using a Personal Access Token (PAT)
2025-07-06T00:00:00.000Z,Inconsistent categories (4)
2025-07-08T00:00:00.000Z,NumPy: Basic Statistics
2025-08-11T00:00:00.000Z,With or without replacement?
2025-08-11T00:00:00.000Z,Calculating salary percentiles
2025-11-18T00:00:00.000Z,Keys and superkeys
2025-08-26T00:00:00.000Z,Visualizing goodness of fit (3)
2025-11-17T00:00:00.000Z,The not-null and unique constraints
2025-08-20T00:00:00.000Z,Simple sampling with pandas
2025-07-03T00:00:00.000Z,Loop Data Structures Part 2
2025-09-04T00:00:00.000Z,ROC AUC
2025-08-16T00:00:00.000Z,Turning strings into datetimes
2025-11-22T00:00:00.000Z,Extending the book dimension (2)
2025-08-20T00:00:00.000Z,Weighted sampling (3)
2025-07-17T00:00:00.000Z,Do sequels earn more? (1)
2025-08-19T00:00:00.000Z,Log odds ratio
2025-11-18T00:00:00.000Z,"Add foreign keys to the ""affiliations"" table"
2025-07-16T00:00:00.000Z,Writing an iterator to load data in chunks (1)
2025-08-21T00:00:00.000Z,Generating a bootstrap distribution (2)
2025-07-17T00:00:00.000Z,Merging a table to itself
2025-07-14T00:00:00.000Z,Pivoting on one variable (3)
2025-09-09T00:00:00.000Z,Which clusters are closest?
2025-11-18T00:00:00.000Z,Model 1:N relationships with foreign keys
2025-10-05T00:00:00.000Z,Practice with NULLs (1)
2025-08-12T00:00:00.000Z,Modeling time between leads
2025-08-17T00:00:00.000Z,Setting dtypes and saving memory (2)
2025-10-04T00:00:00.000Z,Current Charts
2025-11-18T00:00:00.000Z,Primary keys
2025-08-17T00:00:00.000Z,How long between rides?
2025-06-30T00:00:00.000Z,Build a histogram (2): bins
2025-10-11T00:00:00.000Z,Comparing joins
2025-08-17T00:00:00.000Z,Accessing and filtering data (4)
2025-07-17T00:00:00.000Z,One-to-many merge with multiple tables (1)
2025-08-16T00:00:00.000Z,Ending daylight saving time
2025-07-15T00:00:00.000Z,Bringing it all together
2025-07-18T00:00:00.000Z,Reshaping data with .melt()
2025-09-09T00:00:00.000Z,Which articles are similar to 'Cristiano Ronaldo'?
2025-07-14T00:00:00.000Z,Efficient summaries (3)
2025-08-11T00:00:00.000Z,Calculating probabilities
2025-07-11T00:00:00.000Z,Importing flat files using pandas
2025-08-19T00:00:00.000Z,Calculating the confusion matrix
2025-08-19T00:00:00.000Z,Exploring the explanatory variables
2025-08-17T00:00:00.000Z,Accessing and filtering data (2)
2025-10-04T00:00:00.000Z,Understanding Authentication Methods
2025-07-29T00:00:00.000Z,Plotting subgroups in line plots
2025-09-09T00:00:00.000Z,Intrinsic dimension of the fish data
2025-10-05T00:00:00.000Z,Processing data
2025-09-28T00:00:00.000Z,Adding a branch
2025-07-08T00:00:00.000Z,Methods
2025-09-26T00:00:00.000Z,Navigating the shell
2025-09-02T00:00:00.000Z,Heatmap of campaign interactions (1)
2025-09-28T00:00:00.000Z,Add an image to the README
2025-07-02T00:00:00.000Z,Indexes and values (2)
2025-07-15T00:00:00.000Z,Pop quiz on lambda functions
2025-09-24T00:00:00.000Z,A read-only open() context manager
2025-08-16T00:00:00.000Z,How many hours elapsed around daylight saving? (1)
2025-06-30T00:00:00.000Z,Build a histogram (3): compare
2025-07-14T00:00:00.000Z,Fill in missing values and sum values with pivot tables
2025-08-21T00:00:00.000Z,Type I and type II errors
2025-07-11T00:00:00.000Z,Customizing the Hello World of SQL Queries
2025-11-18T00:00:00.000Z,Get to know SELECT COUNT DISTINCT
2025-07-30T00:00:00.000Z,Adding titles and labels: Part 1
2025-09-04T00:00:00.000Z,Evaluating multiple models
2025-09-02T00:00:00.000Z,Covariate adjustment with chick growth
2025-07-17T00:00:00.000Z,Concatenation basics (3)
2025-08-21T00:00:00.000Z,Calculating a confidence interval (1)
2025-08-13T00:00:00.000Z,What can't correlation measure? (2)
2025-11-18T00:00:00.000Z,Make your columns UNIQUE with ADD CONSTRAINT
2025-11-18T00:00:00.000Z,CONCATenate columns to a surrogate key (3)
2025-12-01T00:00:00.000Z,Converting to 3NF (1)
2025-08-21T00:00:00.000Z,Sampling distribution vs. bootstrap distribution (2)
2025-07-25T00:00:00.000Z,Case study: report on credit risk
2025-09-18T00:00:00.000Z,Better performance with a Voting Classifier
2025-07-11T00:00:00.000Z,Importing sheets from Excel files
2025-08-11T00:00:00.000Z,Creating a probability distribution (1)
2025-07-29T00:00:00.000Z,Making a scatter plot with lists (3)
2025-09-04T00:00:00.000Z,Regression with categorical features
2025-09-24T00:00:00.000Z,HTML Generator (1)
2025-08-03T00:00:00.000Z,Removing outliers
2025-07-14T00:00:00.000Z,Calculating on a pivot table
2025-09-24T00:00:00.000Z,Checking for closure (1)
2025-07-06T00:00:00.000Z,Ambiguous dates
2025-06-30T00:00:00.000Z,Labels
2025-10-04T00:00:00.000Z,Automation and Insights in Projects
2025-11-18T00:00:00.000Z,Add a SERIAL surrogate key (2)
2025-08-17T00:00:00.000Z,Removing categories (2)
2025-08-20T00:00:00.000Z,Proportional stratified sampling (3)
2025-08-12T00:00:00.000Z,Probabilities from the normal distribution (1)
2025-09-28T00:00:00.000Z,Adding a file
2025-09-28T00:00:00.000Z,Who can see the issue?
2025-07-11T00:00:00.000Z,Ordering your SQL records with ORDER BY
2025-08-19T00:00:00.000Z,Linear regression with a categorical explanatory variable (2)
2025-07-01T00:00:00.000Z,Access dictionary
2025-08-17T00:00:00.000Z,Reading date and time data in Pandas
2025-09-21T00:00:00.000Z,Retrieving docstrings (2)
2025-07-14T00:00:00.000Z,Sorting rows (1)
2025-08-06T00:00:00.000Z,Factor relationships and distributions
2025-09-28T00:00:00.000Z,Modify a repo title
2025-10-05T00:00:00.000Z,Data engineering and big data
2025-07-25T00:00:00.000Z,Something to report
2025-08-20T00:00:00.000Z,Simple sampling with pandas (2)
2025-07-08T00:00:00.000Z,Variables and Types
2025-09-21T00:00:00.000Z,Split up a function (1)
2025-08-19T00:00:00.000Z,Visualizing two numeric variables
2025-08-16T00:00:00.000Z,Cleaning daylight saving data with fold
2025-08-19T00:00:00.000Z,Quantifying logistic regression fit
2025-09-04T00:00:00.000Z,Dropping missing data (2)
2025-07-08T00:00:00.000Z,Selective import
2025-07-17T00:00:00.000Z,Performing a semi join
2025-07-29T00:00:00.000Z,Changing the scale
2025-07-03T00:00:00.000Z,Loop Data Structures Part 1
2025-09-28T00:00:00.000Z,Defining and identifying remotes (2)
2025-08-11T00:00:00.000Z,Mean and median
2025-07-06T00:00:00.000Z,Tire size constraints
2025-11-21T00:00:00.000Z,OLTP and OLAP
2025-07-29T00:00:00.000Z,Create and interpret a box plot (2)
2025-07-14T00:00:00.000Z,Mean and median
2025-08-11T00:00:00.000Z,Cross-tabulation (3)
2025-07-06T00:00:00.000Z,Remapping categories
2025-08-16T00:00:00.000Z,Parsing pairs of strings as datetimes
2025-08-20T00:00:00.000Z,Exact sampling distribution
2025-11-21T00:00:00.000Z,Which is better?
2025-07-01T00:00:00.000Z,CSV to DataFrame (2)
2025-09-03T00:00:00.000Z,Exploring and transforming shelf life data
2025-09-28T00:00:00.000Z,Pulling from remotes
2025-08-11T00:00:00.000Z,"Quartiles, quantiles, and quintiles (1)"
2025-12-01T00:00:00.000Z,Tables vs. views
2025-10-11T00:00:00.000Z,Joining multiple tables
2025-07-18T00:00:00.000Z,merge_asof() and merge_ordered() differences
2025-09-18T00:00:00.000Z,Growing a classification tree
2025-08-21T00:00:00.000Z,Compare sampling and bootstrap standard deviations
2025-08-26T00:00:00.000Z,Performing a chi-square test (5)
2025-07-15T00:00:00.000Z,Replacing missing values (1)
2025-09-03T00:00:00.000Z,Further analyzing food preservation techniques (2)
2025-07-14T00:00:00.000Z,Inspecting a DataFrame
2025-07-30T00:00:00.000Z,FacetGrids vs. AxesSubplots (2)
2025-10-11T00:00:00.000Z,Filter with HAVING
2025-07-08T00:00:00.000Z,Operations with other types
2025-08-12T00:00:00.000Z,How many sales will be won?
2025-09-28T00:00:00.000Z,VIEWing your query
2025-07-17T00:00:00.000Z,Concatenation basics
2025-10-05T00:00:00.000Z,Different breeds
2025-09-28T00:00:00.000Z,Congratulations!
2025-08-11T00:00:00.000Z,Choosing a hypothesis (1)
2025-09-02T00:00:00.000Z,Covariate adjustment with chick growth (3)
2025-07-25T00:00:00.000Z,Planning an oral presentation
2025-08-20T00:00:00.000Z,Performing cluster sampling (1)
2025-08-19T00:00:00.000Z,Drawing diagnostic plots (2)
2025-10-05T00:00:00.000Z,Using OR
2025-07-31T00:00:00.000Z,Summaries with .groupby() and .agg() (1)
2025-07-11T00:00:00.000Z,Introduction to relational databases
2025-08-21T00:00:00.000Z,Calculating the sample mean (2)
2025-08-31T00:00:00.000Z,Wilcoxon signed-rank test (1)
2025-11-21T00:00:00.000Z,Querying the dimensional model (2)
2025-08-20T00:00:00.000Z,Relative error vs. sample size
2025-09-02T00:00:00.000Z,Stratifying an experiment
2025-07-15T00:00:00.000Z,Functions that return single values
2025-10-05T00:00:00.000Z,It's not true
2025-08-13T00:00:00.000Z,Which day of the week? (2)
2025-07-29T00:00:00.000Z,Customizing point plots (2)
2025-09-24T00:00:00.000Z,Closures keep your values safe (1)
2025-09-09T00:00:00.000Z,A tf-idf word-frequency array
2025-09-24T00:00:00.000Z,HTML Generator (2)
2025-10-05T00:00:00.000Z,Aliasing with functions (3)
2025-08-17T00:00:00.000Z,Wrap-up
2025-08-26T00:00:00.000Z,Performing a chi-square test (4)
2025-10-05T00:00:00.000Z,LIKE and NOT LIKE (3)
2025-07-08T00:00:00.000Z,2D Arithmetic
2025-07-31T00:00:00.000Z,Converting and analyzing categorical data
2025-08-18T00:00:00.000Z,Overcoming pitfalls: string issues
2025-08-26T00:00:00.000Z,Visualizing goodness of fit (2)
2025-08-19T00:00:00.000Z,Probabilities (1)
2025-08-17T00:00:00.000Z,Setting categories
2025-08-11T00:00:00.000Z,Finding outliers using IQR (3)
2025-08-17T00:00:00.000Z,Categorical vs. numerical
2025-10-11T00:00:00.000Z,Chaining FULL JOINs
2025-07-29T00:00:00.000Z,Hue and scatter plots
2025-07-08T00:00:00.000Z,Python Lists
2025-10-11T00:00:00.000Z,Introduction to relational databases
2025-07-03T00:00:00.000Z,Loop over dictionary
2025-10-05T00:00:00.000Z,Summarizing data
2025-07-31T00:00:00.000Z,Data summarization
2025-09-21T00:00:00.000Z,Crafting a docstring (2)
2025-08-16T00:00:00.000Z,Turning pairs of datetimes into durations
2025-08-12T00:00:00.000Z,Calculating binomial probabilities (1)
2025-09-28T00:00:00.000Z,Resolving a merge conflict (2)
2025-09-09T00:00:00.000Z,NMF learns topics of documents
2025-08-16T00:00:00.000Z,Average trip time
2025-08-20T00:00:00.000Z,Performing cluster sampling
2025-07-14T00:00:00.000Z,Subsetting pivot tables
2025-09-26T00:00:00.000Z,Data organization
2025-10-11T00:00:00.000Z,Query information_schema with SELECT (1)
2025-08-12T00:00:00.000Z,Tracking lead responses (2)
2025-10-05T00:00:00.000Z,Order of execution
2025-08-11T00:00:00.000Z,Measures of center
2025-08-31T00:00:00.000Z,Non-parametric ANOVA and unpaired t-tests
2025-10-04T00:00:00.000Z,Project layouts
2025-07-16T00:00:00.000Z,Welcome to the case study!
2025-07-13T00:00:00.000Z,Missing investors (3)
2025-10-05T00:00:00.000Z,Summarizing subsets
2025-09-24T00:00:00.000Z,Preserving docstrings when decorating functions (3)
2025-08-19T00:00:00.000Z,Back transformation (2)
2025-07-14T00:00:00.000Z,Subsetting with .loc[]
2025-08-03T00:00:00.000Z,Flight duration (1)
2025-08-12T00:00:00.000Z,Data back-ups (4)
2025-07-15T00:00:00.000Z,Dictionary of lists
2025-10-11T00:00:00.000Z,Review UNION and INTERSECT
2025-08-18T00:00:00.000Z,Introduction to categorical plots using Seaborn
2025-10-05T00:00:00.000Z,Non-standard fields
2025-07-08T00:00:00.000Z,Inner workings of lists
2025-09-09T00:00:00.000Z,Visualizing the PCA transformation
2025-06-30T00:00:00.000Z,Histogram
2025-09-28T00:00:00.000Z,Clone or fork?
2025-07-29T00:00:00.000Z,Creating subplots with col and row (2)
2025-10-11T00:00:00.000Z,Subquery inside WHERE
2025-08-21T00:00:00.000Z,Calculating the sample mean
2025-07-29T00:00:00.000Z,Simple scatter plot
2025-07-25T00:00:00.000Z,Write precise and clear reports
2025-08-18T00:00:00.000Z,Bar plot using hue (1)
2025-10-05T00:00:00.000Z,Filtering results
2025-08-12T00:00:00.000Z,The CLT in action (1)
2025-07-13T00:00:00.000Z,Remapping categories II (1)
2025-08-19T00:00:00.000Z,Q-Q plot of residuals
2025-07-16T00:00:00.000Z,Error handling with try-except
2025-08-17T00:00:00.000Z,Exploring a target variable (1)
2025-07-01T00:00:00.000Z,Dictionary to DataFrame (1)
2025-07-19T00:00:00.000Z,Fundamentals of storytelling
2025-08-17T00:00:00.000Z,Combining groupby() and resample()
2025-10-05T00:00:00.000Z,Not responsible
2025-10-05T00:00:00.000Z,Data engineers vs. data scientists
2025-07-29T00:00:00.000Z,Changing the scale (2)
2025-08-19T00:00:00.000Z,Predicting house prices
2025-07-13T00:00:00.000Z,Generating pairs
2025-08-18T00:00:00.000Z,Updating categorical plots (4)
2025-07-14T00:00:00.000Z,Multiple grouped summaries
2025-08-21T00:00:00.000Z,Pairwise t-tests (1)
2025-08-20T00:00:00.000Z,Comparing point estimates (4)
2025-08-19T00:00:00.000Z,Sampling and point estimates
2025-08-19T00:00:00.000Z,Extracting model elements (3)
2025-08-26T00:00:00.000Z,t for proportions?
2025-07-28T00:00:00.000Z,Stacked bar chart
2025-07-05T00:00:00.000Z,Visualize the walk
2025-07-15T00:00:00.000Z,Nested Functions I
2025-08-19T00:00:00.000Z,Influence
2025-07-31T00:00:00.000Z,Detecting data types (1)
2025-09-28T00:00:00.000Z,Respond to a PR
2025-08-19T00:00:00.000Z,Residual standard error (2)
2025-07-15T00:00:00.000Z,Strings in Python
2025-08-21T00:00:00.000Z,Visualizing many categories
2025-07-05T00:00:00.000Z,Common data types
2025-07-15T00:00:00.000Z,Nested functions
2025-08-21T00:00:00.000Z,Calculating confidence intervals (1)
2025-08-26T00:00:00.000Z,Test of two proportions
2025-08-19T00:00:00.000Z,Back transformation
2025-08-12T00:00:00.000Z,The CLT in action (2)
2025-10-11T00:00:00.000Z,Query information_schema with SELECT (3)
2025-07-13T00:00:00.000Z,Remapping categories II (3)
2025-09-24T00:00:00.000Z,Modifying variables outside local scope (3)
2025-07-15T00:00:00.000Z,Price of conventional vs. organic avocados
2025-10-05T00:00:00.000Z,SQL style
